employee_id,age,dfh,edu,job_level,income,stock_option,salary_increase,training,years_company,years_promotion,years_manager,num_companiesworked,years_working,performance,job_involvement,satisfaction_environment,satisfaction_job,wlb,attrition_d,business_travel,department,edu_field,gender,job_role,marital,cluster
93,42,7,4,3,22260,1,12,3,3,1,0,0.0,4.0,3,2,3.0,3.0,3.0,0,Travel_Rarely,Sales,Medical,Male,Research Scientist,Divorced,2
94,32,2,3,2,57470,0,13,0,8,0,7,1.0,8.0,3,3,3.0,2.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,2
95,48,13,4,4,98540,1,16,2,0,0,0,3.0,15.0,3,2,1.0,3.0,1.0,0,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married,2
98,26,28,3,5,51510,3,15,3,8,7,7,1.0,8.0,3,3,3.0,3.0,3.0,0,Travel_Rarely,Sales,Medical,Female,Laboratory Technician,Married,2
99,42,2,2,1,21330,2,13,2,1,0,0,3.0,14.0,3,3,1.0,4.0,3.0,0,Travel_Rarely,Sales,Medical,Female,Laboratory Technician,Single,2
103,57,21,4,5,191610,0,18,2,3,1,2,2.0,15.0,3,1,4.0,3.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,2
104,40,8,3,2,50870,1,14,3,7,1,7,3.0,10.0,3,3,4.0,3.0,3.0,0,Travel_Rarely,Research & Development,Other,Male,Sales Executive,Married,2
105,21,1,5,2,28630,0,14,2,3,2,2,1.0,3.0,3,1,1.0,4.0,2.0,0,Non-Travel,Research & Development,Life Sciences,Female,Manager,Single,2
107,37,5,3,4,21440,0,19,3,5,0,3,6.0,17.0,3,4,3.0,1.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,2
108,46,2,4,2,30650,0,11,3,1,0,0,2.0,7.0,3,3,3.0,3.0,4.0,0,Non-Travel,Sales,Marketing,Female,Laboratory Technician,Married,2
110,50,9,3,3,98880,0,15,2,4,1,3,6.0,20.0,3,3,4.0,4.0,3.0,0,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Single,2
114,29,1,3,2,66670,1,12,6,3,1,2,9.0,6.0,3,4,4.0,4.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Single,2
115,35,29,3,3,50030,0,15,2,1,0,0,9.0,10.0,3,3,3.0,2.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Sales Executive,Single,2
117,28,2,2,3,28580,0,12,2,7,0,7,1.0,7.0,3,2,2.0,4.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Manager,Single,2
118,49,2,3,2,52040,1,14,3,5,0,0,8.0,26.0,3,3,2.0,3.0,3.0,0,Travel_Rarely,Sales,Technical Degree,Male,Manufacturing Director,Single,2
120,36,15,2,1,96790,0,12,1,2,2,2,4.0,6.0,3,3,4.0,3.0,3.0,0,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,2
122,55,26,3,1,104480,0,13,3,5,1,2,2.0,30.0,3,3,3.0,4.0,3.0,0,Travel_Rarely,Sales,Marketing,Male,Laboratory Technician,Single,2
123,24,1,3,5,28970,3,18,4,5,0,3,1.0,5.0,3,3,4.0,3.0,4.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Divorced,2
124,30,3,3,2,59680,0,13,3,1,0,0,1.0,1.0,3,3,3.0,2.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Married,2
126,22,16,5,1,29910,2,19,3,2,1,2,1.0,2.0,3,2,1.0,2.0,3.0,0,Travel_Rarely,Research & Development,Other,Male,Research Scientist,Married,2
127,36,1,3,5,196360,1,12,3,10,9,0,1.0,10.0,3,3,2.0,3.0,3.0,0,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Married,2
130,40,6,2,3,43320,2,14,3,5,1,3,7.0,8.0,3,2,4.0,2.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Divorced,2
131,42,2,3,4,110310,1,12,2,5,1,2,3.0,8.0,3,2,2.0,1.0,3.0,0,Travel_Rarely,Research & Development,Medical,Female,Manager,Divorced,2
132,37,9,1,3,44400,1,11,3,1,0,1,2.0,18.0,3,2,3.0,2.0,2.0,0,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,2
134,40,6,2,1,26470,0,13,2,1,0,0,6.0,20.0,3,2,2.0,3.0,3.0,0,Travel_Rarely,Sales,Life Sciences,Female,Laboratory Technician,Married,2
139,43,27,4,2,39770,1,18,3,5,0,2,4.0,8.0,3,3,3.0,3.0,3.0,0,Travel_Rarely,Sales,Life Sciences,Male,Sales Representative,Divorced,2
140,25,7,2,1,86330,1,19,2,5,1,3,1.0,5.0,3,4,2.0,4.0,3.0,0,Travel_Rarely,Human Resources,Human Resources,Male,Manufacturing Director,Single,2
142,31,24,1,3,44400,1,13,2,4,3,2,1.0,4.0,3,3,4.0,1.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,2
145,30,5,4,2,54100,1,17,2,5,4,4,0.0,6.0,3,3,2.0,3.0,3.0,0,Travel_Rarely,Sales,Medical,Female,Manufacturing Director,Single,2
146,41,7,3,3,27820,0,14,2,10,0,7,1.0,10.0,3,2,2.0,1.0,3.0,0,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Married,2
147,28,7,3,3,119570,0,13,2,10,1,8,1.0,10.0,3,2,3.0,1.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Divorced,2
150,45,2,3,1,50980,1,14,4,2,0,2,3.0,8.0,3,3,1.0,4.0,2.0,0,Travel_Rarely,Research & Development,Medical,Female,Sales Executive,Married,2
151,52,12,3,2,48780,1,11,3,5,1,4,2.0,31.0,3,3,4.0,4.0,1.0,0,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,2
152,42,10,3,2,28370,1,13,0,5,0,2,2.0,19.0,3,2,1.0,3.0,3.0,0,Travel_Frequently,Sales,Marketing,Female,Healthcare Representative,Divorced,2
156,42,18,4,4,132060,2,13,2,6,0,4,0.0,7.0,3,3,4.0,4.0,4.0,0,Travel_Frequently,Research & Development,Technical Degree,Male,Sales Executive,Married,2
159,38,3,3,2,49070,1,11,3,1,0,0,1.0,1.0,3,3,4.0,4.0,3.0,0,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Married,2
162,30,15,3,2,23800,3,18,2,5,1,4,4.0,9.0,3,2,3.0,4.0,1.0,0,Non-Travel,Research & Development,Medical,Female,Sales Executive,Married,2
163,29,8,3,3,194310,0,11,3,10,0,7,1.0,10.0,3,3,2.0,3.0,3.0,0,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Married,2
167,57,2,2,4,63060,1,12,3,1,0,0,3.0,32.0,3,3,1.0,4.0,2.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,2
171,47,1,3,5,135700,2,16,2,5,0,4,5.0,20.0,3,2,1.0,4.0,3.0,0,Travel_Rarely,Research & Development,Technical Degree,Male,Manufacturing Director,Divorced,2
173,35,15,2,2,54060,1,12,2,5,4,3,0.0,6.0,3,3,4.0,3.0,3.0,0,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Single,2
174,54,2,4,2,89380,3,11,2,1,0,0,7.0,19.0,3,3,3.0,3.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Human Resources,Single,2
175,34,8,2,1,24390,2,11,2,7,5,7,3.0,14.0,3,4,4.0,3.0,3.0,0,Travel_Rarely,Sales,Life Sciences,Male,Laboratory Technician,Divorced,2
176,46,2,3,1,88370,0,18,3,3,1,2,2.0,15.0,3,2,3.0,4.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Married,2
177,31,7,3,2,53430,1,14,3,13,0,8,1.0,13.0,3,3,3.0,2.0,4.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Divorced,2
180,30,2,3,1,48500,1,12,4,3,1,2,0.0,4.0,3,3,4.0,2.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Single,2
184,42,2,4,1,29770,3,15,3,2,2,0,4.0,8.0,3,2,2.0,3.0,3.0,0,Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Married,2
192,39,12,1,1,99910,1,16,3,8,0,7,1.0,8.0,3,3,3.0,3.0,3.0,0,Travel_Frequently,Research & Development,Medical,Male,Research Scientist,Married,2
193,31,1,4,3,61420,2,13,2,6,0,5,4.0,10.0,3,2,2.0,4.0,4.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Single,2
197,29,5,3,1,51300,0,11,3,3,1,2,4.0,8.0,3,2,4.0,4.0,4.0,0,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Divorced,2
198,33,16,3,1,20900,0,16,2,6,0,5,4.0,10.0,3,3,1.0,3.0,3.0,0,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Divorced,2
199,31,2,4,1,29090,2,14,2,5,0,1,9.0,10.0,3,3,3.0,4.0,2.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Sales Executive,Divorced,2
201,40,1,4,2,30680,0,19,3,1,0,1,3.0,20.0,3,2,3.0,1.0,3.0,0,Non-Travel,Research & Development,Technical Degree,Female,Laboratory Technician,Divorced,2
202,41,23,3,2,26700,2,15,2,8,0,7,2.0,10.0,3,2,1.0,3.0,3.0,0,Non-Travel,Research & Development,Life Sciences,Male,Manufacturing Director,Single,2
203,26,9,4,3,26930,3,17,3,0,0,0,5.0,8.0,3,2,1.0,3.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Divorced,2
204,35,16,4,2,95260,0,15,2,5,0,3,1.0,5.0,3,2,1.0,3.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Human Resources,Single,2
207,37,8,1,1,41930,1,16,5,6,1,2,4.0,12.0,3,3,2.0,4.0,4.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Single,2
208,46,4,1,5,29110,0,13,3,2,1,2,5.0,28.0,3,3,1.0,3.0,2.0,0,Travel_Frequently,Research & Development,Medical,Male,Human Resources,Married,2
213,24,22,3,1,29350,2,14,5,2,2,1,0.0,3.0,3,2,4.0,4.0,3.0,0,Travel_Frequently,Sales,Life Sciences,Female,Healthcare Representative,Married,2
214,38,5,3,1,154270,1,16,2,1,0,0,3.0,18.0,3,3,3.0,3.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married,2
215,37,1,4,5,39440,2,11,3,6,4,3,6.0,8.0,3,3,2.0,2.0,2.0,0,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Married,2
217,24,1,3,1,34070,2,15,2,6,1,4,1.0,6.0,3,2,2.0,4.0,3.0,0,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,2
218,26,19,4,4,119940,1,14,6,5,1,4,1.0,6.0,3,3,1.0,2.0,4.0,0,Travel_Rarely,Research & Development,Technical Degree,Female,Sales Executive,Married,2
219,24,7,3,1,12320,0,12,4,1,0,0,1.0,1.0,3,1,4.0,2.0,3.0,0,Travel_Rarely,Sales,Medical,Female,Laboratory Technician,Married,2
221,25,2,3,1,190940,0,16,3,7,0,6,1.0,7.0,3,2,2.0,3.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,2
224,34,6,2,4,102480,1,12,4,6,1,3,1.0,6.0,3,3,2.0,4.0,3.0,0,Travel_Rarely,Sales,Life Sciences,Male,Research Director,Married,2
226,35,2,3,5,24960,3,17,3,3,0,2,4.0,9.0,3,3,1.0,4.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Sales Executive,Single,2
227,31,1,3,2,64650,0,17,3,7,5,7,4.0,13.0,3,3,1.0,4.0,4.0,0,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,2
228,27,22,4,1,22060,1,14,4,5,0,3,0.0,6.0,3,3,1.0,3.0,2.0,0,Travel_Rarely,Sales,Medical,Male,Sales Representative,Divorced,2
229,37,9,4,2,20860,0,14,3,3,1,0,4.0,17.0,3,3,4.0,3.0,2.0,0,Travel_Rarely,Sales,Marketing,Female,Laboratory Technician,Married,2
230,20,17,4,1,22930,2,13,3,1,0,0,1.0,1.0,3,1,4.0,2.0,4.0,0,Travel_Rarely,Research & Development,Medical,Female,Sales Representative,Single,2
231,42,28,4,2,26450,0,15,5,10,2,2,1.0,10.0,3,3,3.0,4.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Married,2
232,43,10,5,2,26830,0,11,3,1,0,0,4.0,21.0,3,3,2.0,4.0,2.0,0,Travel_Rarely,Research & Development,Technical Degree,Female,Sales Executive,Divorced,2
233,38,2,4,1,20140,1,17,5,0,0,0,3.0,8.0,3,4,3.0,1.0,2.0,0,Travel_Rarely,Human Resources,Medical,Male,Human Resources,Single,2
234,43,4,3,2,34190,1,11,5,8,4,7,3.0,10.0,3,3,4.0,3.0,3.0,0,Travel_Frequently,Sales,Medical,Female,Healthcare Representative,Divorced,2
235,48,8,1,2,53760,1,13,3,3,0,2,7.0,21.0,3,4,4.0,1.0,1.0,0,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,2
239,21,16,2,3,87260,1,11,2,3,1,2,1.0,3.0,3,1,3.0,3.0,3.0,0,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Single,2
240,44,2,2,1,40110,1,14,2,2,0,1,4.0,26.0,3,3,4.0,4.0,4.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,2
241,22,2,2,2,195450,0,14,3,2,2,2,0.0,3.0,3,2,1.0,3.0,3.0,0,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Married,2
242,33,13,4,2,45680,1,18,2,5,1,2,0.0,6.0,3,3,3.0,3.0,3.0,0,Travel_Rarely,Sales,Marketing,Female,Manufacturing Director,Divorced,2
243,32,1,1,1,30220,1,16,3,6,0,5,1.0,6.0,3,3,1.0,4.0,2.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Healthcare Representative,Married,2
244,30,4,5,3,57720,0,17,3,1,0,0,1.0,1.0,3,3,3.0,3.0,3.0,0,Travel_Frequently,Research & Development,Technical Degree,Male,Manager,Divorced,2
248,26,7,2,1,54540,1,13,5,3,0,2,1.0,3.0,3,4,3.0,4.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Married,2
250,29,2,3,1,41570,3,17,2,6,1,2,1.0,6.0,3,3,2.0,3.0,2.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Healthcare Representative,Married,2
254,36,8,3,2,59150,1,13,3,3,0,2,2.0,13.0,3,2,2.0,2.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,2
255,27,9,3,5,59930,1,14,3,4,1,1,0.0,5.0,3,1,1.0,4.0,3.0,0,Travel_Rarely,Sales,Marketing,Male,Research Director,Single,2
258,35,2,1,1,187400,1,19,2,1,0,0,1.0,1.0,3,4,3.0,3.0,3.0,0,Non-Travel,Research & Development,Medical,Male,Research Scientist,Married,2
259,23,2,3,1,76370,1,11,3,3,0,2,2.0,5.0,3,3,1.0,1.0,4.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Married,2
260,25,11,3,2,100960,1,11,3,3,1,2,0.0,4.0,3,3,4.0,2.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,2
262,29,2,4,4,64990,3,18,3,10,2,8,1.0,10.0,3,2,2.0,4.0,3.0,0,Travel_Frequently,Sales,Life Sciences,Male,Healthcare Representative,Divorced,2
263,48,16,3,1,97240,0,13,2,2,2,2,3.0,12.0,3,4,2.0,2.0,3.0,0,Travel_Rarely,Research & Development,Technical Degree,Male,Sales Executive,Married,2
264,27,4,3,5,21940,0,12,5,6,0,4,1.0,6.0,3,3,4.0,4.0,3.0,0,Travel_Frequently,Sales,Technical Degree,Male,Laboratory Technician,Divorced,2
265,37,16,3,3,33880,0,11,2,1,0,0,3.0,4.0,3,4,4.0,4.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Manager,Single,2
270,32,2,3,5,30380,0,11,5,10,0,8,1.0,10.0,3,1,4.0,4.0,2.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,2
272,38,9,4,1,43120,1,12,2,9,1,8,0.0,10.0,3,2,2.0,4.0,2.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Single,2
275,47,2,3,5,50210,0,17,3,7,1,7,2.0,20.0,3,3,4.0,1.0,3.0,0,Travel_Rarely,Research & Development,Medical,Female,Sales Executive,Single,2
277,53,7,1,2,28590,1,18,2,5,1,3,3.0,32.0,3,3,3.0,3.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,2
280,27,29,1,2,43250,0,14,2,9,1,7,1.0,9.0,3,2,4.0,1.0,2.0,0,Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced,2
284,36,10,4,2,41520,1,19,3,8,0,5,9.0,10.0,3,3,1.0,1.0,3.0,0,Non-Travel,Research & Development,Technical Degree,Female,Research Scientist,Married,2
285,38,1,3,3,96190,1,13,2,1,0,0,4.0,10.0,3,3,3.0,3.0,4.0,0,Travel_Rarely,Research & Development,Medical,Female,Manager,Single,2
286,44,8,2,1,135030,0,12,6,5,1,4,2.0,9.0,3,2,1.0,3.0,3.0,0,Non-Travel,Research & Development,Life Sciences,Male,Research Scientist,Single,2
288,30,8,3,2,52090,1,14,3,8,7,7,7.0,10.0,3,3,3.0,4.0,2.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Divorced,2
289,29,1,2,1,106730,3,13,2,1,0,0,1.0,1.0,3,3,3.0,3.0,3.0,0,Travel_Rarely,Research & Development,Medical,Female,Sales Executive,Single,2
291,43,26,1,1,135490,2,11,3,2,2,2,3.0,7.0,3,3,4.0,4.0,3.0,0,Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Married,2
292,34,2,5,2,49990,2,12,2,5,4,3,3.0,10.0,3,4,2.0,3.0,3.0,0,Travel_Rarely,Research & Development,Technical Degree,Male,Healthcare Representative,Single,2
293,23,13,3,5,42210,1,11,4,4,0,2,1.0,5.0,3,3,2.0,1.0,4.0,0,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,2
294,39,2,4,4,138720,3,12,3,8,3,6,9.0,12.0,3,2,3.0,2.0,1.0,0,Travel_Rarely,Sales,Marketing,Female,Healthcare Representative,Married,2
295,56,2,4,1,20420,0,12,6,10,1,1,7.0,30.0,3,3,3.0,4.0,2.0,0,Travel_Rarely,Research & Development,Medical,Male,Manager,Married,2
296,40,9,3,2,20730,0,14,3,4,2,3,0.0,5.0,3,3,4.0,4.0,2.0,0,Travel_Rarely,Sales,Marketing,Male,Research Scientist,Single,2
297,27,10,3,1,29560,0,13,6,7,0,7,8.0,9.0,3,3,4.0,1.0,1.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single,2
298,29,20,3,2,29260,1,15,3,2,2,2,1.0,2.0,3,2,4.0,2.0,3.0,0,Travel_Rarely,Sales,Marketing,Female,Manager,Divorced,2
299,53,9,3,3,48090,0,18,2,2,2,2,2.0,19.0,3,3,4.0,4.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single,2
300,35,5,1,1,51630,2,18,4,1,0,0,2.0,16.0,3,3,4.0,1.0,4.0,0,Non-Travel,Research & Development,Medical,Male,Healthcare Representative,Divorced,2
302,38,10,3,4,181720,2,12,5,1,0,1,6.0,6.0,3,3,4.0,3.0,1.0,0,Travel_Rarely,Sales,Medical,Male,Laboratory Technician,Married,2
303,34,20,3,3,57440,1,19,4,0,0,0,3.0,7.0,3,2,2.0,1.0,3.0,0,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Divorced,2
306,25,8,3,2,74840,0,15,3,6,1,4,1.0,6.0,3,3,3.0,4.0,2.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,2
