employee_id,age,dfh,edu,job_level,income,stock_option,salary_increase,training,years_company,years_promotion,years_manager,num_companiesworked,years_working,performance,job_involvement,satisfaction_environment,satisfaction_job,wlb,attrition_d,business_travel,department,edu_field,gender,job_role,marital,cluster
56,33,9,3,4,193920,1,12,3,10,8,8,6.0,12.0,3,3,4.0,2.0,3.0,0,Travel_Frequently,Research & Development,Life Sciences,Male,Research Director,Married,1
57,39,1,4,1,196650,1,22,6,21,11,10,1.0,21.0,4,3,3.0,1.0,3.0,0,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,1
62,32,1,3,3,26620,1,11,6,13,11,9,1.0,13.0,3,4,3.0,2.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,1
68,31,2,1,1,97130,0,17,5,10,8,9,1.0,10.0,3,2,3.0,3.0,3.0,0,Travel_Frequently,Research & Development,Life Sciences,Female,Manager,Married,1
69,39,19,4,1,20620,0,13,4,21,13,3,1.0,21.0,3,3,3.0,4.0,3.0,0,Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Married,1
77,45,3,1,1,171740,1,14,6,10,9,8,9.0,12.0,3,3,4.0,4.0,3.0,0,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,1
84,38,28,4,1,65830,0,12,1,11,2,9,0.0,12.0,3,3,3.0,4.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced,1
87,35,16,2,3,25440,1,13,3,16,0,13,0.0,17.0,3,4,3.0,2.0,3.0,0,Travel_Rarely,Sales,Technical Degree,Male,Manager,Single,1
96,37,8,5,2,54670,0,12,2,7,6,7,4.0,13.0,3,3,3.0,1.0,3.0,0,Travel_Rarely,Research & Development,Technical Degree,Male,Manufacturing Director,Divorced,1
102,36,6,3,2,47710,1,13,2,13,1,12,4.0,16.0,3,3,1.0,4.0,3.0,0,Travel_Frequently,Research & Development,Life Sciences,Female,Research Scientist,Married,1
129,37,10,1,1,133410,1,14,3,18,12,17,1.0,18.0,3,3,4.0,1.0,2.0,0,Travel_Rarely,Research & Development,Technical Degree,Male,Sales Executive,Divorced,1
133,43,10,2,1,46170,0,11,2,25,3,9,1.0,25.0,3,3,1.0,2.0,3.0,0,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Divorced,1
137,31,10,4,3,21870,1,15,2,13,3,12,1.0,13.0,3,2,2.0,1.0,1.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Married,1
144,56,20,4,3,53210,0,14,1,7,7,7,9.0,36.0,3,3,3.0,1.0,2.0,0,Travel_Frequently,Research & Development,Life Sciences,Female,Sales Executive,Married,1
154,60,10,3,1,22690,1,18,4,29,11,10,5.0,33.0,3,3,1.0,1.0,1.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Married,1
155,46,19,4,1,41080,0,14,5,10,0,8,2.0,19.0,3,2,3.0,3.0,2.0,0,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,1
160,40,26,4,1,34820,1,18,2,20,1,12,0.0,21.0,3,2,3.0,3.0,3.0,0,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,1
166,30,2,4,3,51310,1,15,2,9,7,8,0.0,10.0,3,3,3.0,1.0,3.0,0,Non-Travel,Research & Development,Life Sciences,Female,Research Scientist,Married,1
168,50,10,4,3,47870,0,12,3,27,15,7,0.0,28.0,3,3,2.0,3.0,3.0,0,Travel_Rarely,Sales,Life Sciences,Female,Manager,Married,1
170,60,16,3,4,23390,0,20,4,18,13,11,4.0,22.0,4,3,3.0,1.0,4.0,0,Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Married,1
185,36,3,4,1,40250,0,11,3,10,9,7,1.0,10.0,3,3,2.0,4.0,2.0,0,Non-Travel,Research & Development,Medical,Male,Research Scientist,Single,1
187,48,6,3,1,108540,1,14,6,9,6,7,2.0,14.0,3,3,2.0,4.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,1
188,55,1,3,1,120310,0,11,5,10,7,7,3.0,37.0,3,3,1.0,2.0,3.0,0,Travel_Rarely,Research & Development,Medical,Female,Sales Executive,Single,1
189,41,3,2,2,99360,1,17,2,14,1,10,7.0,16.0,3,2,4.0,4.0,3.0,0,Non-Travel,Research & Development,Life Sciences,Female,Research Scientist,Single,1
190,35,22,3,1,29660,0,18,2,11,6,9,9.0,15.0,3,2,2.0,3.0,3.0,0,Travel_Rarely,Research & Development,Medical,Female,Sales Representative,Married,1
191,40,15,3,2,25710,0,14,1,20,5,13,7.0,22.0,3,3,2.0,3.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single,1
194,42,5,3,3,53900,0,14,3,10,5,8,1.0,10.0,3,3,4.0,1.0,2.0,0,Travel_Rarely,Research & Development,Medical,Male,Sales Executive,Married,1
205,34,26,3,1,52370,1,19,3,10,5,7,1.0,10.0,3,2,4.0,4.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Single,1
209,41,24,1,1,26610,1,14,2,18,11,8,7.0,22.0,3,3,2.0,1.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Married,1
210,37,7,2,1,20280,1,16,3,9,7,7,1.0,9.0,3,3,1.0,2.0,3.0,0,Non-Travel,Research & Development,Medical,Male,Sales Executive,Divorced,1
216,49,21,1,1,40110,2,18,2,31,0,9,1.0,31.0,3,1,4.0,3.0,3.0,0,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Divorced,1
220,50,2,2,1,29600,3,14,2,32,10,7,1.0,32.0,3,3,1.0,2.0,3.0,0,Travel_Frequently,Sales,Marketing,Male,Sales Executive,Married,1
245,53,24,3,3,22690,1,11,2,14,8,10,7.0,18.0,3,2,4.0,1.0,4.0,0,Travel_Rarely,Research & Development,Other,Female,Manager,Single,1
246,34,1,5,1,53810,0,12,0,10,8,8,1.0,10.0,3,3,2.0,4.0,2.0,0,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,1
249,37,4,3,1,98840,0,14,3,10,7,8,1.0,10.0,3,2,3.0,3.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Manager,Married,1
251,35,10,5,4,134580,0,11,3,17,11,8,1.0,17.0,3,3,2.0,4.0,3.0,0,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Single,1
253,54,5,2,2,40140,1,19,4,9,7,1,2.0,16.0,3,2,3.0,2.0,4.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Sales Executive,Married,1
266,50,5,3,1,54730,1,19,2,20,3,8,1.0,20.0,3,4,4.0,3.0,3.0,0,Travel_Rarely,Sales,Medical,Male,Laboratory Technician,Married,1
269,39,12,5,1,62200,2,14,2,20,11,10,1.0,20.0,3,3,4.0,3.0,3.0,0,Travel_Rarely,Research & Development,Medical,Female,Sales Representative,Single,1
276,40,3,4,3,51260,0,18,2,18,1,12,5.0,20.0,3,3,4.0,1.0,3.0,0,Travel_Frequently,Research & Development,Medical,Female,Human Resources,Married,1
278,41,6,3,1,102390,3,24,3,21,12,6,3.0,23.0,4,3,2.0,4.0,2.0,0,Travel_Rarely,Sales,Medical,Male,Sales Executive,Divorced,1
281,41,3,3,1,72600,0,16,2,22,2,10,1.0,22.0,3,3,4.0,3.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,1
287,47,27,3,1,54410,1,22,6,22,11,13,9.0,28.0,4,2,4.0,3.0,2.0,0,Travel_Frequently,Research & Development,Life Sciences,Male,Research Scientist,Divorced,1
304,52,21,5,3,28890,1,11,2,34,1,16,1.0,34.0,3,3,3.0,1.0,4.0,0,Travel_Rarely,Sales,Technical Degree,Male,Manager,Married,1
321,38,2,4,2,23680,1,11,3,15,4,12,6.0,17.0,3,3,1.0,1.0,3.0,0,Travel_Frequently,Sales,Life Sciences,Female,Research Scientist,Single,1
327,42,9,4,1,92080,1,15,2,24,14,9,1.0,24.0,3,4,2.0,4.0,2.0,0,Travel_Frequently,Research & Development,Medical,Male,Manufacturing Director,Divorced,1
335,47,6,4,2,63470,0,14,2,26,3,0,1.0,26.0,3,4,3.0,4.0,2.0,0,Travel_Rarely,Research & Development,Other,Male,Manager,Married,1
338,58,24,3,2,43170,0,17,2,31,13,8,7.0,40.0,3,3,4.0,2.0,3.0,1,Travel_Rarely,Research & Development,Other,Female,Research Scientist,Single,1
343,32,3,1,2,171810,0,14,2,14,6,8,1.0,14.0,3,2,3.0,3.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,1
347,42,20,2,2,72950,0,15,3,9,7,8,1.0,10.0,3,3,2.0,2.0,2.0,0,Travel_Rarely,Research & Development,Medical,Male,Sales Representative,Married,1
350,49,7,2,2,89980,2,14,2,9,7,7,1.0,9.0,3,4,3.0,4.0,4.0,1,Travel_Rarely,Sales,Life Sciences,Female,Healthcare Representative,Married,1
359,51,16,3,3,94390,3,15,0,20,4,17,2.0,29.0,3,3,1.0,3.0,2.0,0,Travel_Rarely,Sales,Medical,Male,Research Scientist,Married,1
364,36,10,4,3,86860,0,13,2,18,4,11,1.0,18.0,3,3,2.0,4.0,2.0,0,Travel_Rarely,Sales,Marketing,Male,Manager,Married,1
378,35,9,2,1,31400,1,13,2,17,5,15,1.0,17.0,3,2,4.0,3.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Healthcare Representative,Married,1
390,35,1,3,3,167920,1,12,3,13,4,8,3.0,16.0,3,4,4.0,2.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Married,1
394,47,15,4,3,65530,0,15,2,7,7,7,0.0,8.0,3,3,3.0,4.0,3.0,0,Travel_Rarely,Sales,Marketing,Female,Research Director,Married,1
396,50,17,3,1,42980,1,20,6,31,14,7,1.0,31.0,4,3,1.0,1.0,3.0,0,Non-Travel,Research & Development,Medical,Female,Laboratory Technician,Divorced,1
407,36,26,4,1,84740,0,14,3,16,4,11,0.0,17.0,3,3,3.0,4.0,2.0,0,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,1
420,49,25,2,2,43450,0,15,3,26,1,7,4.0,29.0,3,2,1.0,2.0,2.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Sales Executive,Married,1
424,38,6,3,2,87890,3,11,4,15,5,11,1.0,15.0,3,3,4.0,1.0,3.0,0,Travel_Rarely,Sales,Other,Male,Sales Executive,Married,1
429,41,1,4,1,195170,0,13,5,18,2,17,2.0,20.0,3,3,4.0,1.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,1
430,36,9,3,2,24360,0,13,3,11,3,9,4.0,16.0,3,1,3.0,3.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Healthcare Representative,Single,1
438,37,10,4,3,30720,0,14,3,14,11,7,5.0,17.0,3,2,1.0,3.0,1.0,1,Travel_Rarely,Sales,Marketing,Female,Human Resources,Married,1
442,52,5,4,1,29110,2,17,3,9,7,8,2.0,26.0,3,3,4.0,4.0,2.0,0,Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Married,1
444,53,9,3,1,39200,1,16,3,17,15,2,6.0,22.0,3,3,3.0,3.0,4.0,0,Travel_Rarely,Research & Development,Technical Degree,Male,Manager,Divorced,1
450,47,7,4,3,69310,0,11,3,19,2,7,1.0,20.0,3,3,3.0,3.0,4.0,0,Travel_Frequently,Research & Development,Life Sciences,Male,Sales Executive,Divorced,1
459,41,11,3,1,168720,1,15,2,18,0,11,2.0,21.0,3,3,1.0,3.0,4.0,0,Travel_Frequently,Sales,Other,Male,Laboratory Technician,Divorced,1
464,50,1,3,2,134960,1,18,3,12,1,5,3.0,22.0,3,3,4.0,3.0,3.0,0,Travel_Rarely,Research & Development,Technical Degree,Female,Sales Executive,Married,1
471,54,23,3,1,136030,1,13,2,10,0,8,8.0,22.0,3,3,3.0,3.0,3.0,0,Travel_Rarely,Sales,Medical,Female,Laboratory Technician,Married,1
472,35,6,4,1,119960,2,19,3,16,10,1,1.0,16.0,3,3,3.0,3.0,2.0,0,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Divorced,1
479,48,3,3,1,54150,1,11,1,15,4,8,7.0,27.0,3,3,3.0,3.0,3.0,0,Travel_Rarely,Sales,Medical,Male,Research Director,Single,1
481,39,2,3,3,21150,0,18,3,21,11,8,1.0,21.0,3,4,4.0,4.0,3.0,0,Travel_Rarely,Sales,Life Sciences,Male,Human Resources,Married,1
486,59,16,4,5,186650,0,12,3,5,4,3,3.0,30.0,3,2,3.0,4.0,3.0,0,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Single,1
488,55,26,2,2,27890,1,13,2,8,6,7,3.0,17.0,3,2,3.0,2.0,3.0,0,Travel_Frequently,Research & Development,Life Sciences,Female,Sales Executive,Married,1
489,41,19,1,2,58280,0,13,0,21,5,10,1.0,21.0,3,3,2.0,3.0,3.0,0,Non-Travel,Research & Development,Life Sciences,Male,Research Scientist,Divorced,1
492,52,5,4,4,14200,1,13,2,32,6,9,1.0,33.0,3,4,1.0,4.0,3.0,1,Travel_Rarely,Research & Development,Medical,Female,Human Resources,Married,1
493,44,16,3,1,80200,1,11,2,12,11,11,3.0,23.0,3,3,4.0,4.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Healthcare Representative,Married,1
494,50,2,2,1,36880,0,11,3,18,0,13,0.0,19.0,3,2,4.0,3.0,3.0,0,Non-Travel,Human Resources,Life Sciences,Male,Laboratory Technician,Married,1
495,36,2,4,4,54820,0,18,3,17,15,14,1.0,18.0,3,3,3.0,1.0,3.0,1,Travel_Rarely,Sales,Technical Degree,Male,Sales Executive,Single,1
496,39,11,3,1,160150,0,11,3,21,2,8,1.0,21.0,3,4,4.0,1.0,3.0,0,Travel_Frequently,Sales,Marketing,Male,Sales Executive,Single,1
500,34,6,4,2,96130,1,12,5,15,0,9,0.0,16.0,3,2,2.0,4.0,2.0,0,Travel_Rarely,Sales,Marketing,Male,Research Director,Divorced,1
503,53,8,2,2,120610,1,20,2,15,6,12,2.0,30.0,4,4,3.0,2.0,3.0,0,Travel_Frequently,Sales,Medical,Male,Research Scientist,Married,1
509,50,5,4,1,118780,1,13,2,8,7,7,2.0,29.0,3,3,2.0,3.0,2.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Married,1
516,36,4,2,2,44780,1,18,3,14,7,8,0.0,15.0,3,3,4.0,4.0,2.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Human Resources,Single,1
517,55,2,3,2,75470,0,16,2,9,6,2,7.0,31.0,3,2,3.0,1.0,4.0,0,Non-Travel,Research & Development,Medical,Female,Manager,Single,1
521,46,12,3,3,89430,1,12,6,16,1,7,8.0,19.0,3,3,4.0,1.0,3.0,0,Travel_Rarely,Sales,Marketing,Female,Healthcare Representative,Divorced,1
527,38,5,3,1,63490,0,11,3,19,1,9,0.0,20.0,3,3,3.0,3.0,2.0,0,Travel_Rarely,Research & Development,Technical Degree,Male,Sales Executive,Married,1
528,40,1,4,1,48690,0,12,2,11,11,1,4.0,14.0,3,3,1.0,4.0,3.0,0,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,1
532,44,18,4,2,21190,0,15,3,20,3,6,9.0,24.0,3,3,2.0,1.0,3.0,1,Travel_Rarely,Research & Development,Life Sciences,Female,Sales Executive,Married,1
542,42,11,1,4,60320,0,14,2,22,13,7,0.0,23.0,3,2,4.0,1.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,1
548,45,1,3,2,125040,1,12,2,15,4,12,1.0,15.0,3,3,2.0,3.0,3.0,0,Non-Travel,Research & Development,Medical,Female,Human Resources,Married,1
553,46,6,4,3,21740,1,11,3,12,4,9,3.0,23.0,3,3,1.0,3.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Sales Executive,Married,1
556,39,1,3,2,67550,1,14,2,18,11,5,7.0,21.0,3,3,1.0,4.0,3.0,1,Travel_Frequently,Sales,Marketing,Male,Healthcare Representative,Divorced,1
557,40,1,1,1,22130,0,17,4,20,4,9,1.0,21.0,3,3,3.0,3.0,4.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Single,1
580,40,2,4,4,75960,0,11,0,18,2,13,9.0,20.0,3,1,2.0,3.0,2.0,0,Travel_Frequently,Research & Development,Medical,Male,Human Resources,Single,1
581,42,2,4,1,22850,0,16,3,21,13,14,0.0,22.0,3,1,3.0,1.0,2.0,1,Travel_Frequently,Sales,Life Sciences,Male,Laboratory Technician,Single,1
590,34,6,2,1,43060,0,11,2,13,4,9,0.0,14.0,3,3,4.0,1.0,3.0,0,Travel_Frequently,Research & Development,Life Sciences,Male,Research Director,Single,1
594,56,3,2,2,44490,0,15,3,5,4,2,4.0,28.0,3,1,4.0,1.0,3.0,0,Travel_Rarely,Research & Development,Other,Male,Healthcare Representative,Divorced,1
598,37,14,4,3,65770,0,13,1,14,3,11,1.0,14.0,3,1,4.0,4.0,2.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,1
601,53,6,4,1,40310,1,12,3,7,4,7,3.0,26.0,3,2,4.0,3.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Divorced,1
604,46,2,3,2,165550,2,14,4,26,15,9,8.0,28.0,3,3,3.0,1.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,1
617,30,29,3,1,25460,1,14,2,10,8,9,1.0,10.0,3,3,3.0,3.0,2.0,0,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Divorced,1
618,44,3,4,2,25640,3,12,3,20,13,17,1.0,20.0,3,1,4.0,4.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,1
622,60,2,2,2,25640,1,14,3,11,1,9,0.0,12.0,3,3,2.0,4.0,3.0,0,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Divorced,1
625,36,3,2,4,178610,0,18,2,7,7,7,2.0,17.0,3,2,3.0,1.0,3.0,0,Travel_Rarely,Sales,Marketing,Male,Healthcare Representative,Divorced,1
626,33,26,2,1,42300,0,12,0,14,4,10,0.0,15.0,3,3,1.0,4.0,3.0,0,Travel_Rarely,Sales,Marketing,Male,Research Scientist,Married,1
629,30,9,3,1,90710,1,19,2,11,5,7,0.0,12.0,3,2,4.0,2.0,3.0,0,Travel_Rarely,Sales,Marketing,Female,Research Scientist,Married,1
633,54,9,2,2,29830,1,14,2,5,1,4,7.0,33.0,3,2,4.0,3.0,1.0,0,Travel_Frequently,Research & Development,Medical,Male,Sales Representative,Divorced,1
637,54,9,4,2,20930,0,19,2,10,0,9,3.0,36.0,3,3,4.0,4.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Married,1
650,44,4,3,1,42620,0,18,2,22,3,10,7.0,26.0,3,3,2.0,2.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Married,1
656,45,12,3,2,43060,2,11,3,24,1,11,2.0,26.0,3,3,1.0,2.0,3.0,1,Travel_Rarely,Human Resources,Human Resources,Male,Laboratory Technician,Single,1
657,55,27,3,2,48590,1,24,3,33,15,0,1.0,34.0,4,4,4.0,2.0,3.0,0,Non-Travel,Research & Development,Life Sciences,Female,Manager,Divorced,1
659,46,1,4,1,23400,1,13,2,11,0,8,2.0,26.0,3,1,4.0,2.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Married,1
661,51,14,3,2,105270,0,14,3,29,11,10,4.0,31.0,3,3,4.0,2.0,2.0,0,Travel_Frequently,Research & Development,Life Sciences,Male,Research Director,Divorced,1
663,34,14,4,3,88340,1,13,1,11,5,10,4.0,15.0,3,3,3.0,2.0,4.0,0,Travel_Frequently,Sales,Medical,Female,Research Scientist,Divorced,1
665,44,3,4,2,47070,0,17,4,25,14,13,1.0,26.0,3,1,3.0,1.0,2.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,1
669,43,7,2,1,195020,2,18,3,21,15,17,3.0,23.0,3,4,4.0,4.0,4.0,0,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Single,1
673,51,21,4,2,182000,0,17,3,7,7,7,0.0,8.0,3,3,2.0,3.0,2.0,0,Travel_Frequently,Sales,Medical,Male,Research Scientist,Single,1
680,39,29,1,1,54600,2,13,3,19,15,2,6.0,21.0,3,3,3.0,2.0,3.0,0,Travel_Rarely,Sales,Marketing,Female,Laboratory Technician,Divorced,1
686,46,4,3,1,26190,1,12,3,7,5,7,6.0,10.0,3,2,4.0,1.0,4.0,0,Travel_Rarely,Sales,Medical,Male,Research Scientist,Single,1
693,31,1,2,1,195130,1,12,1,10,9,6,1.0,10.0,3,2,4.0,3.0,2.0,0,Non-Travel,Research & Development,Medical,Male,Sales Executive,Divorced,1
694,41,6,3,1,27730,0,11,3,19,11,9,1.0,19.0,3,3,3.0,2.0,3.0,0,Non-Travel,Sales,Life Sciences,Female,Research Director,Single,1
697,42,4,3,2,20830,2,12,3,20,2,10,0.0,21.0,3,2,3.0,3.0,2.0,0,Non-Travel,Research & Development,Life Sciences,Male,Laboratory Technician,Married,1
698,55,11,3,2,83810,1,15,3,19,9,11,4.0,23.0,3,3,4.0,3.0,3.0,0,Travel_Rarely,Sales,Technical Degree,Male,Manufacturing Director,Married,1
699,56,3,2,3,26910,1,16,6,7,7,7,6.0,36.0,3,3,4.0,2.0,3.0,0,Travel_Rarely,Sales,Medical,Female,Manufacturing Director,Single,1
702,40,4,3,2,94340,1,13,3,9,8,8,1.0,9.0,3,2,3.0,4.0,3.0,0,Travel_Rarely,Sales,Medical,Male,Sales Executive,Single,1
705,51,18,2,4,77250,1,13,2,33,0,10,1.0,33.0,3,3,3.0,2.0,3.0,0,Travel_Rarely,Sales,Life Sciences,Male,Manufacturing Director,Divorced,1
707,34,4,3,2,88470,0,16,3,10,9,6,1.0,10.0,3,4,3.0,1.0,4.0,0,Travel_Rarely,Sales,Life Sciences,Male,Research Scientist,Single,1
709,58,1,4,2,10090,2,13,3,10,5,9,7.0,31.0,3,4,3.0,1.0,2.0,1,Travel_Rarely,Sales,Technical Degree,Male,Sales Executive,Married,1
711,36,16,2,1,12810,0,11,2,15,6,13,2.0,17.0,3,3,1.0,1.0,2.0,0,Travel_Frequently,Sales,Life Sciences,Male,Research Scientist,Married,1
718,55,19,3,1,46800,3,14,0,19,3,8,6.0,24.0,3,4,1.0,3.0,2.0,1,Travel_Rarely,Research & Development,Technical Degree,Male,Human Resources,Single,1
719,56,24,4,2,32210,2,15,2,19,15,9,4.0,33.0,3,3,4.0,2.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,1
721,40,3,3,2,45770,1,11,3,12,11,8,5.0,15.0,3,2,2.0,3.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Divorced,1
722,34,5,3,1,45530,1,18,2,8,7,7,4.0,10.0,3,4,2.0,3.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,1
738,43,2,2,1,78610,2,14,1,20,1,8,1.0,20.0,3,3,1.0,3.0,1.0,0,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Single,1
742,42,23,3,3,26420,1,13,3,20,0,9,0.0,21.0,3,3,3.0,1.0,3.0,0,Travel_Rarely,Sales,Marketing,Female,Research Scientist,Married,1
751,54,1,3,2,22970,2,18,2,20,12,7,6.0,29.0,3,2,4.0,4.0,2.0,0,Travel_Rarely,Sales,Medical,Female,Manager,Single,1
752,58,22,3,2,24500,1,12,2,9,1,5,3.0,32.0,3,3,4.0,1.0,3.0,0,Travel_Rarely,Sales,Life Sciences,Female,Laboratory Technician,Married,1
767,47,3,2,2,43640,1,11,3,20,5,6,3.0,26.0,3,3,1.0,3.0,4.0,0,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,1
773,31,16,3,2,27820,1,19,5,13,9,9,1.0,13.0,3,3,1.0,4.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Human Resources,Divorced,1
777,45,10,2,1,38330,0,14,1,7,0,7,2.0,24.0,3,3,2.0,1.0,3.0,0,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Divorced,1
783,40,25,4,1,31490,1,15,1,9,4,8,2.0,16.0,3,2,4.0,2.0,3.0,0,Non-Travel,Research & Development,Other,Female,Sales Executive,Divorced,1
786,53,2,4,2,116910,0,20,2,9,8,8,4.0,35.0,4,3,4.0,2.0,2.0,0,Travel_Rarely,Research & Development,Technical Degree,Male,Manager,Single,1
791,34,10,4,1,192460,1,15,5,13,3,12,3.0,15.0,3,3,4.0,1.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Sales Representative,Single,1
796,57,2,1,3,61620,0,14,5,12,2,8,0.0,13.0,3,2,2.0,3.0,2.0,0,Travel_Rarely,Sales,Life Sciences,Male,Research Scientist,Married,1
797,49,7,3,2,50940,0,15,5,8,0,7,3.0,29.0,3,3,3.0,2.0,3.0,0,Travel_Rarely,Research & Development,Technical Degree,Female,Sales Executive,Divorced,1
801,34,7,1,1,62880,1,15,2,15,10,10,0.0,16.0,3,3,1.0,2.0,4.0,1,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,1
819,54,10,3,4,37610,0,12,3,14,1,12,3.0,26.0,3,2,2.0,4.0,3.0,0,Travel_Frequently,Sales,Life Sciences,Female,Research Scientist,Divorced,1
