employee_id,age,dfh,edu,job_level,income,stock_option,salary_increase,training,years_company,years_promotion,years_manager,num_companiesworked,years_working,performance,job_involvement,satisfaction_environment,satisfaction_job,wlb,attrition_d,business_travel,department,edu_field,gender,job_role,marital
14,47,1,1,1,57620,2,11,4,10,9,9,1.0,10.0,3,2,1.0,2.0,2.0,1,Non-Travel,Research & Development,Medical,Male,Research Scientist,Married
15,28,1,3,1,25920,0,14,2,5,0,4,1.0,5.0,3,3,4.0,4.0,2.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Married
16,37,1,3,2,53460,0,11,2,5,0,1,4.0,7.0,3,3,3.0,4.0,4.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Married
17,21,3,2,1,42130,3,12,3,3,1,0,1.0,3.0,3,2,4.0,3.0,4.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single
18,37,1,3,2,41270,1,13,2,5,0,2,2.0,15.0,3,3,1.0,4.0,3.0,0,Non-Travel,Research & Development,Medical,Male,Sales Executive,Divorced
19,35,7,4,1,24380,0,16,5,7,6,2,7.0,10.0,3,2,2.0,2.0,2.0,0,Travel_Rarely,Sales,Life Sciences,Male,Sales Representative,Divorced
20,38,8,3,1,68700,1,11,5,8,7,7,1.0,8.0,3,3,1.0,1.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Divorced
21,26,1,4,2,104470,0,18,3,6,1,4,1.0,6.0,3,3,3.0,2.0,1.0,0,Travel_Frequently,Research & Development,Other,Male,Laboratory Technician,Divorced
22,50,8,4,1,96670,0,23,2,10,1,6,3.0,28.0,4,2,1.0,2.0,2.0,0,Travel_Rarely,Sales,Life Sciences,Male,Research Scientist,Divorced
23,53,11,4,2,21480,0,11,2,5,1,3,3.0,21.0,3,3,3.0,3.0,2.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married
25,29,16,4,1,65130,1,11,2,10,0,9,1.0,10.0,3,3,2.0,4.0,2.0,0,Travel_Frequently,Research & Development,Medical,Male,Laboratory Technician,Single
26,55,1,4,1,67990,0,11,2,10,0,8,3.0,12.0,3,3,2.0,4.0,3.0,0,Travel_Rarely,Research & Development,Other,Female,Research Scientist,Married
27,26,9,3,1,162910,0,22,3,5,3,3,1.0,5.0,4,3,1.0,1.0,3.0,0,Travel_Frequently,Research & Development,Life Sciences,Female,Manager,Married
28,37,5,1,1,27050,0,11,2,17,5,7,1.0,17.0,3,3,4.0,4.0,3.0,0,Travel_Rarely,Sales,Marketing,Male,Research Scientist,Single
29,44,1,2,2,103330,1,14,2,1,0,0,3.0,19.0,3,2,4.0,3.0,1.0,1,Travel_Frequently,Research & Development,Medical,Male,Research Scientist,Divorced
30,38,2,3,1,44480,0,12,3,2,1,2,9.0,10.0,3,2,4.0,4.0,3.0,0,Travel_Rarely,Sales,Marketing,Female,Manager,Divorced
31,26,4,3,3,68540,0,11,5,3,0,2,2.0,5.0,3,2,1.0,2.0,3.0,1,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Divorced
32,28,7,3,1,96370,0,13,6,5,0,2,1.0,5.0,3,2,4.0,4.0,3.0,0,Travel_Rarely,Research & Development,Other,Male,Human Resources,Single
33,49,1,1,2,35910,0,13,2,3,1,2,9.0,22.0,3,3,3.0,1.0,3.0,0,Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Single
34,36,5,3,3,54050,0,14,2,8,7,7,4.0,10.0,3,3,3.0,2.0,3.0,0,Travel_Rarely,Sales,Technical Degree,Male,Sales Executive,Single
35,31,9,4,1,46840,1,16,4,2,2,2,1.0,2.0,3,3,4.0,2.0,2.0,0,Travel_Frequently,Research & Development,Medical,Male,Sales Executive,Divorced
36,26,8,3,2,157870,2,12,5,8,7,4,1.0,8.0,3,3,4.0,4.0,3.0,1,Travel_Rarely,Research & Development,Medical,Male,Manager,Single
37,37,9,1,1,15140,0,14,3,4,1,2,1.0,4.0,3,3,2.0,4.0,2.0,0,Travel_Frequently,Sales,Marketing,Male,Laboratory Technician,Married
38,42,2,2,3,29560,0,13,2,20,4,8,5.0,23.0,3,3,3.0,2.0,4.0,0,Travel_Frequently,Sales,Marketing,Male,Research Director,Married
39,18,1,4,1,23350,2,14,3,0,0,0,1.0,0.0,3,2,3.0,3.0,3.0,1,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Single
40,35,20,2,1,51540,0,19,2,11,6,9,0.0,12.0,3,2,3.0,2.0,2.0,0,Travel_Rarely,Sales,Life Sciences,Male,Laboratory Technician,Married
42,51,2,3,2,56750,0,13,2,4,1,2,5.0,13.0,3,2,4.0,2.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced
43,41,29,1,1,23790,0,12,6,22,0,4,1.0,22.0,3,3,4.0,2.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single
44,18,7,3,1,38120,0,15,3,0,0,0,1.0,0.0,3,3,4.0,3.0,3.0,0,Travel_Rarely,Sales,Life Sciences,Male,Research Scientist,Single
45,28,9,3,1,46480,2,23,2,8,0,7,0.0,9.0,4,2,2.0,1.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Sales Representative,Single
46,31,8,1,1,29360,1,12,2,8,7,7,4.0,10.0,3,3,2.0,4.0,2.0,0,Travel_Rarely,Research & Development,Technical Degree,Male,Manufacturing Director,Married
47,39,5,4,2,21050,0,20,3,18,3,7,0.0,19.0,4,3,3.0,4.0,2.0,0,Travel_Rarely,Sales,Marketing,Female,Human Resources,Divorced
48,36,5,4,1,85780,0,21,4,9,0,8,7.0,11.0,4,3,2.0,2.0,3.0,0,Non-Travel,Research & Development,Life Sciences,Male,Sales Executive,Married
49,32,2,3,2,27060,1,21,4,13,4,8,1.0,13.0,4,3,4.0,3.0,2.0,0,Travel_Rarely,Sales,Marketing,Male,Laboratory Technician,Married
50,38,5,2,3,63840,2,19,4,10,0,1,3.0,19.0,3,2,1.0,2.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married
51,58,2,3,2,39680,2,13,3,5,1,2,2.0,12.0,3,2,4.0,3.0,3.0,0,Non-Travel,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced
52,31,20,1,3,99070,1,13,3,5,0,3,0.0,6.0,3,2,3.0,4.0,3.0,0,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Married
53,31,7,4,2,132250,1,21,2,2,1,0,3.0,9.0,4,3,1.0,1.0,3.0,0,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married
54,45,3,1,1,35400,0,13,6,24,9,11,1.0,24.0,3,3,1.0,1.0,3.0,0,Travel_Frequently,Research & Development,Medical,Female,Sales Executive,Divorced
55,31,16,4,2,28040,2,19,0,2,2,2,0.0,3.0,3,3,3.0,4.0,1.0,0,Travel_Rarely,Sales,Marketing,Female,Research Scientist,Divorced
56,33,9,3,4,193920,1,12,3,10,8,8,6.0,12.0,3,3,4.0,2.0,3.0,0,Travel_Frequently,Research & Development,Life Sciences,Male,Research Director,Married
57,39,1,4,1,196650,1,22,6,21,11,10,1.0,21.0,4,3,3.0,1.0,3.0,0,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married
58,43,7,4,4,24390,0,15,2,8,1,7,0.0,9.0,3,3,3.0,4.0,3.0,0,Travel_Frequently,Research & Development,Medical,Male,Research Scientist,Single
59,49,1,3,3,73140,0,22,2,7,0,7,7.0,25.0,4,3,3.0,3.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Single
60,52,7,1,2,47740,1,18,2,8,7,7,2.0,11.0,3,3,3.0,2.0,2.0,1,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married
61,27,15,4,3,39020,0,22,2,4,1,2,1.0,4.0,4,3,3.0,2.0,2.0,0,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single
62,32,1,3,3,26620,1,11,6,13,11,9,1.0,13.0,3,4,3.0,2.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married
63,27,13,2,4,28560,2,12,5,5,0,4,1.0,5.0,3,4,4.0,3.0,3.0,0,Travel_Rarely,Research & Development,Medical,Female,Research Director,Single
64,31,24,3,2,10810,3,11,4,7,1,7,4.0,13.0,3,4,4.0,4.0,3.0,0,Travel_Rarely,Sales,Life Sciences,Male,Healthcare Representative,Divorced
65,32,7,3,2,24720,0,13,2,7,0,7,7.0,10.0,3,3,1.0,4.0,2.0,0,Travel_Rarely,Research & Development,Technical Degree,Male,Healthcare Representative,Single
66,28,9,4,1,56730,1,14,4,3,2,2,5.0,5.0,3,2,1.0,4.0,2.0,1,Travel_Rarely,Research & Development,Medical,Male,Sales Executive,Married
67,30,13,3,4,41970,0,13,3,10,1,9,1.0,11.0,3,3,4.0,4.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Married
68,31,2,1,1,97130,0,17,5,10,8,9,1.0,10.0,3,2,3.0,3.0,3.0,0,Travel_Frequently,Research & Development,Life Sciences,Female,Manager,Married
69,39,19,4,1,20620,0,13,4,21,13,3,1.0,21.0,3,3,3.0,4.0,3.0,0,Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Married
70,39,1,1,1,42840,1,17,0,1,0,0,4.0,12.0,3,3,4.0,3.0,2.0,1,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Married
71,33,4,2,4,47880,1,11,0,7,0,1,3.0,9.0,3,3,2.0,4.0,2.0,0,Travel_Frequently,Sales,Life Sciences,Male,Research Scientist,Single
72,47,4,3,2,59060,0,23,4,3,1,1,4.0,21.0,4,4,4.0,3.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Healthcare Representative,Married
73,43,14,3,5,38860,2,17,2,9,0,0,1.0,9.0,3,3,3.0,3.0,4.0,0,Travel_Frequently,Research & Development,Medical,Female,Research Director,Divorced
74,27,2,3,1,168230,0,17,3,5,1,4,0.0,6.0,3,3,3.0,2.0,3.0,0,Non-Travel,Research & Development,Life Sciences,Male,Research Director,Married
75,54,1,4,2,29330,2,12,2,4,0,3,3.0,20.0,3,3,4.0,3.0,2.0,0,Travel_Frequently,Research & Development,Life Sciences,Male,Research Scientist,Single
76,43,7,2,2,65000,0,23,3,1,0,0,8.0,10.0,4,3,3.0,1.0,2.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Married
77,45,3,1,1,171740,1,14,6,10,9,8,9.0,12.0,3,3,4.0,4.0,3.0,0,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married
78,40,2,4,4,50330,2,14,6,4,0,2,2.0,6.0,3,3,2.0,4.0,2.0,0,Travel_Rarely,Research & Development,Other,Male,Research Scientist,Married
79,29,29,3,1,23070,1,13,0,7,0,7,1.0,7.0,3,3,2.0,1.0,2.0,1,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married
80,29,8,3,3,25870,2,22,3,3,2,2,0.0,4.0,4,3,2.0,4.0,3.0,0,Travel_Rarely,Human Resources,Medical,Male,Sales Representative,Single
81,30,10,3,2,55070,2,12,2,10,1,2,1.0,10.0,3,2,4.0,3.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced
82,27,11,2,1,43930,1,18,2,8,0,7,1.0,8.0,3,2,2.0,2.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Manager,Married
83,37,1,4,2,133480,0,14,4,6,0,4,7.0,8.0,3,3,4.0,4.0,2.0,0,Travel_Rarely,Sales,Life Sciences,Male,Healthcare Representative,Divorced
84,38,28,4,1,65830,0,12,1,11,2,9,0.0,12.0,3,3,3.0,4.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced
86,29,3,4,3,39780,0,11,0,7,1,7,1.0,7.0,3,3,4.0,2.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Divorced
87,35,16,2,3,25440,1,13,3,16,0,13,0.0,17.0,3,4,3.0,2.0,3.0,0,Travel_Rarely,Sales,Technical Degree,Male,Manager,Single
88,23,20,4,1,53990,0,23,2,4,0,2,1.0,4.0,4,2,3.0,4.0,2.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced
89,41,9,2,1,54870,2,19,0,5,1,2,6.0,8.0,3,3,4.0,2.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single
90,47,1,3,2,68340,1,16,2,0,0,0,3.0,5.0,3,4,2.0,3.0,3.0,0,Travel_Frequently,Sales,Medical,Female,Laboratory Technician,Single
91,42,3,4,1,10910,0,22,0,1,0,0,2.0,16.0,4,1,1.0,4.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Manager,Single
92,29,22,4,2,57360,0,22,1,4,0,2,1.0,4.0,4,2,4.0,3.0,2.0,0,Non-Travel,Sales,Marketing,Male,Human Resources,Married
93,42,7,4,3,22260,1,12,3,3,1,0,0.0,4.0,3,2,3.0,3.0,3.0,0,Travel_Rarely,Sales,Medical,Male,Research Scientist,Divorced
94,32,2,3,2,57470,0,13,0,8,0,7,1.0,8.0,3,3,3.0,2.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married
95,48,13,4,4,98540,1,16,2,0,0,0,3.0,15.0,3,2,1.0,3.0,1.0,0,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married
96,37,8,5,2,54670,0,12,2,7,6,7,4.0,13.0,3,3,3.0,1.0,3.0,0,Travel_Rarely,Research & Development,Technical Degree,Male,Manufacturing Director,Divorced
97,30,25,4,1,53800,1,21,0,2,2,2,7.0,4.0,4,3,4.0,3.0,4.0,0,Non-Travel,Sales,Other,Male,Healthcare Representative,Married
98,26,28,3,5,51510,3,15,3,8,7,7,1.0,8.0,3,3,3.0,3.0,3.0,0,Travel_Rarely,Sales,Medical,Female,Laboratory Technician,Married
99,42,2,2,1,21330,2,13,2,1,0,0,3.0,14.0,3,3,1.0,4.0,3.0,0,Travel_Rarely,Sales,Medical,Female,Laboratory Technician,Single
100,21,9,3,4,178750,0,12,5,3,1,2,1.0,3.0,3,2,1.0,2.0,3.0,1,Travel_Frequently,Research & Development,Medical,Female,Manufacturing Director,Single
101,36,28,3,2,24320,0,22,4,1,0,0,4.0,7.0,4,1,4.0,4.0,3.0,0,Non-Travel,Human Resources,Human Resources,Male,Laboratory Technician,Single
102,36,6,3,2,47710,1,13,2,13,1,12,4.0,16.0,3,3,1.0,4.0,3.0,0,Travel_Frequently,Research & Development,Life Sciences,Female,Research Scientist,Married
103,57,21,4,5,191610,0,18,2,3,1,2,2.0,15.0,3,1,4.0,3.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married
104,40,8,3,2,50870,1,14,3,7,1,7,3.0,10.0,3,3,4.0,3.0,3.0,0,Travel_Rarely,Research & Development,Other,Male,Sales Executive,Married
105,21,1,5,2,28630,0,14,2,3,2,2,1.0,3.0,3,1,1.0,4.0,2.0,0,Non-Travel,Research & Development,Life Sciences,Female,Manager,Single
106,33,28,2,5,55610,1,21,3,1,0,0,1.0,1.0,4,1,4.0,3.0,3.0,1,Travel_Rarely,Human Resources,Human Resources,Female,Manager,Single
107,37,5,3,4,21440,0,19,3,5,0,3,6.0,17.0,3,4,3.0,1.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married
108,46,2,4,2,30650,0,11,3,1,0,0,2.0,7.0,3,3,3.0,3.0,4.0,0,Non-Travel,Sales,Marketing,Female,Laboratory Technician,Married
109,41,16,1,1,28100,0,11,3,8,7,7,1.0,8.0,3,4,1.0,2.0,3.0,1,Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Single
110,50,9,3,3,98880,0,15,2,4,1,3,6.0,20.0,3,3,4.0,4.0,3.0,0,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Single
111,40,8,3,1,86280,0,20,2,6,1,0,2.0,8.0,4,2,3.0,3.0,3.0,1,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Married
113,21,10,2,1,53730,1,12,2,1,0,0,1.0,1.0,3,3,3.0,2.0,3.0,1,Travel_Rarely,Human Resources,Human Resources,Male,Laboratory Technician,Single
114,29,1,3,2,66670,1,12,6,3,1,2,9.0,6.0,3,4,4.0,4.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Single
115,35,29,3,3,50030,0,15,2,1,0,0,9.0,10.0,3,3,3.0,2.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Sales Executive,Single
117,28,2,2,3,28580,0,12,2,7,0,7,1.0,7.0,3,2,2.0,4.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Manager,Single
118,49,2,3,2,52040,1,14,3,5,0,0,8.0,26.0,3,3,2.0,3.0,3.0,0,Travel_Rarely,Sales,Technical Degree,Male,Manufacturing Director,Single
119,51,1,2,1,41050,1,22,2,7,0,7,4.0,18.0,4,3,3.0,4.0,2.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Married
120,36,15,2,1,96790,0,12,1,2,2,2,4.0,6.0,3,3,4.0,3.0,3.0,0,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married
121,34,7,3,1,56170,1,25,3,5,0,4,8.0,9.0,4,3,1.0,4.0,2.0,1,Non-Travel,Research & Development,Life Sciences,Male,Sales Representative,Single
122,55,26,3,1,104480,0,13,3,5,1,2,2.0,30.0,3,3,3.0,4.0,3.0,0,Travel_Rarely,Sales,Marketing,Male,Laboratory Technician,Single
123,24,1,3,5,28970,3,18,4,5,0,3,1.0,5.0,3,3,4.0,3.0,4.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Divorced
124,30,3,3,2,59680,0,13,3,1,0,0,1.0,1.0,3,3,3.0,2.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Married
126,22,16,5,1,29910,2,19,3,2,1,2,1.0,2.0,3,2,1.0,2.0,3.0,0,Travel_Rarely,Research & Development,Other,Male,Research Scientist,Married
127,36,1,3,5,196360,1,12,3,10,9,0,1.0,10.0,3,3,2.0,3.0,3.0,0,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Married
128,30,3,2,3,11290,0,19,2,1,0,0,9.0,3.0,3,2,3.0,4.0,3.0,1,Travel_Frequently,Sales,Marketing,Male,Research Scientist,Single
129,37,10,1,1,133410,1,14,3,18,12,17,1.0,18.0,3,3,4.0,1.0,2.0,0,Travel_Rarely,Research & Development,Technical Degree,Male,Sales Executive,Divorced
130,40,6,2,3,43320,2,14,3,5,1,3,7.0,8.0,3,2,4.0,2.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Divorced
131,42,2,3,4,110310,1,12,2,5,1,2,3.0,8.0,3,2,2.0,1.0,3.0,0,Travel_Rarely,Research & Development,Medical,Female,Manager,Divorced
132,37,9,1,3,44400,1,11,3,1,0,1,2.0,18.0,3,2,3.0,2.0,2.0,0,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single
133,43,10,2,1,46170,0,11,2,25,3,9,1.0,25.0,3,3,1.0,2.0,3.0,0,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Divorced
134,40,6,2,1,26470,0,13,2,1,0,0,6.0,20.0,3,2,2.0,3.0,3.0,0,Travel_Rarely,Sales,Life Sciences,Female,Laboratory Technician,Married
135,54,9,3,2,63230,1,23,2,4,1,2,4.0,24.0,4,2,1.0,1.0,2.0,0,Travel_Rarely,Human Resources,Life Sciences,Female,Manufacturing Director,Married
136,34,28,3,1,56770,1,20,3,3,1,2,9.0,6.0,4,3,3.0,3.0,3.0,0,Non-Travel,Research & Development,Medical,Male,Laboratory Technician,Married
137,31,10,4,3,21870,1,15,2,13,3,12,1.0,13.0,3,2,2.0,1.0,1.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Sales Executive,Married
139,43,27,4,2,39770,1,18,3,5,0,2,4.0,8.0,3,3,3.0,3.0,3.0,0,Travel_Rarely,Sales,Life Sciences,Male,Sales Representative,Divorced
140,25,7,2,1,86330,1,19,2,5,1,3,1.0,5.0,3,4,2.0,4.0,3.0,0,Travel_Rarely,Human Resources,Human Resources,Male,Manufacturing Director,Single
141,37,1,3,3,20080,0,22,5,13,10,7,3.0,15.0,4,2,2.0,3.0,3.0,0,Non-Travel,Research & Development,Medical,Male,Laboratory Technician,Married
142,31,24,1,3,44400,1,13,2,4,3,2,1.0,4.0,3,3,4.0,1.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married
143,39,26,4,1,30670,1,20,5,21,1,6,1.0,21.0,4,1,2.0,3.0,3.0,0,Travel_Frequently,Research & Development,Technical Degree,Female,Sales Executive,Divorced
144,56,20,4,3,53210,0,14,1,7,7,7,9.0,36.0,3,3,3.0,1.0,2.0,0,Travel_Frequently,Research & Development,Life Sciences,Female,Sales Executive,Married
145,30,5,4,2,54100,1,17,2,5,4,4,0.0,6.0,3,3,2.0,3.0,3.0,0,Travel_Rarely,Sales,Medical,Female,Manufacturing Director,Single
146,41,7,3,3,27820,0,14,2,10,0,7,1.0,10.0,3,2,2.0,1.0,3.0,0,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Married
147,28,7,3,3,119570,0,13,2,10,1,8,1.0,10.0,3,2,3.0,1.0,3.0,0,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Divorced
148,25,5,2,3,26600,0,13,3,2,0,2,5.0,6.0,3,3,1.0,1.0,3.0,1,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Married
149,52,26,2,2,33750,0,21,2,5,0,4,2.0,28.0,4,2,4.0,3.0,3.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Sales Representative,Married
150,45,2,3,1,50980,1,14,4,2,0,2,3.0,8.0,3,3,1.0,4.0,2.0,0,Travel_Rarely,Research & Development,Medical,Female,Sales Executive,Married
151,52,12,3,2,48780,1,11,3,5,1,4,2.0,31.0,3,3,4.0,4.0,1.0,0,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married
152,42,10,3,2,28370,1,13,0,5,0,2,2.0,19.0,3,2,1.0,3.0,3.0,0,Travel_Frequently,Sales,Marketing,Female,Healthcare Representative,Divorced
153,30,25,3,1,24060,1,20,5,5,0,2,2.0,11.0,4,3,3.0,4.0,3.0,0,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single
154,60,10,3,1,22690,1,18,4,29,11,10,5.0,33.0,3,3,1.0,1.0,1.0,0,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Married
155,46,19,4,1,41080,0,14,5,10,0,8,2.0,19.0,3,2,3.0,3.0,2.0,0,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced
156,42,18,4,4,132060,2,13,2,6,0,4,0.0,7.0,3,3,4.0,4.0,4.0,0,Travel_Frequently,Research & Development,Technical Degree,Male,Sales Executive,Married
157,24,27,2,1,104220,1,17,0,5,1,4,1.0,6.0,3,2,1.0,2.0,3.0,1,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single
158,34,5,3,2,137440,1,20,3,2,1,0,0.0,3.0,4,3,4.0,3.0,2.0,1,Travel_Frequently,Research & Development,Medical,Male,Research Scientist,Divorced
159,38,3,3,2,49070,1,11,3,1,0,0,1.0,1.0,3,3,4.0,4.0,3.0,0,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Married
160,40,26,4,1,34820,1,18,2,20,1,12,0.0,21.0,3,2,3.0,3.0,3.0,0,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married
161,26,3,2,4,24360,0,24,2,3,0,2,1.0,3.0,4,4,1.0,4.0,1.0,0,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Divorced
162,30,15,3,2,23800,3,18,2,5,1,4,4.0,9.0,3,2,3.0,4.0,1.0,0,Non-Travel,Research & Development,Medical,Female,Sales Executive,Married
163,29,8,3,3,194310,0,11,3,10,0,7,1.0,10.0,3,3,2.0,3.0,3.0,0,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Married
164,29,19,4,3,17900,1,16,4,2,1,1,5.0,6.0,3,2,3.0,2.0,4.0,1,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married
165,19,4,3,1,76440,2,15,2,1,0,0,1.0,1.0,3,3,1.0,4.0,4.0,1,Travel_Rarely,Research & Development,Medical,Male,Sales Executive,Single
166,30,2,4,3,51310,1,15,2,9,7,8,0.0,10.0,3,3,3.0,1.0,3.0,0,Non-Travel,Research & Development,Life Sciences,Female,Research Scientist,Married
167,57,2,2,4,63060,1,12,3,1,0,0,3.0,32.0,3,3,1.0,4.0,2.0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced
168,50,10,4,3,47870,0,12,3,27,15,7,0.0,28.0,3,3,2.0,3.0,3.0,0,Travel_Rarely,Sales,Life Sciences,Female,Manager,Married
169,30,10,2,3,188800,1,22,3,11,6,7,0.0,12.0,4,3,3.0,4.0,2.0,0,Non-Travel,Sales,Life Sciences,Male,Laboratory Technician,Single
170,60,16,3,4,23390,0,20,4,18,13,11,4.0,22.0,4,3,3.0,1.0,4.0,0,Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Married
